Title,Author,Rating
Art in the Dark and Other Tales,"Eichelberg, Robert",4.36
The Feynman Lectures on Physics,"Feynman, Richard",4.61
The Elements of Style,"Strunk Jr., William",4.18
"Uppers, Downers, All-Arounders: Physical and Mental Effects of Psychoactive Drugs","Inaba, Darryl S.",4.21
The Machinery of Life,"Goodsell, David S.",4.41
Elsewhere,"Zevin, Gabrielle",3.91
"Tap Dancing to Work: Warren Buffett on Practically Everything, 1966-2012","Loomis, Carol J.",3.98
Making the Modern World: Materials and Dematerialization,"Smil, Vaclav",3.75
Scrum: The Art of Doing Twice the Work in Half the Time,"Sutherland, Jeff",4.16
"Every Time I Find the Meaning of Life, They Change It: Wisdom of the Great Philosophers on How to Live","Klein, Daniel",3.96
The End of Plenty: The Race to Feed a Crowded World,"Jr, Joel K. Bourne",4.2
Citizenship in a Republic,"Roosevelt, Theodore",4.58
Stuff Matters: Exploring the Marvelous Materials That Shape Our Man-Made World,"Miodownik, Mark",4.11
Sustainable Materials - With Both Eyes Open,"Allwood, Julian M.",4.11
A Gentleman in Moscow,"Towles, Amor",4.33
The Third Chimpanzee: The Evolution and Future of the Human Animal,"Diamond, Jared",4.08
Growth: From Microorganisms to Megacities,"Smil, Vaclav",3.88
Business adventures,"Brooks, John",3.82
Good Hunting: An American Spymaster's Story,"Devine, Jack",3.53
"Do No Harm: Stories of Life, Death and Brain Surgery","Marsh, Henry",4.26
War Doctor: Surgery on the Front Line,"Nott, David",4.55
The Namesake,"Lahiri, Jhumpa",4.01
Never Let Me Go,"Ishiguro, Kazuo",3.84
On Tyranny: Twenty Lessons from the Twentieth Century,"Snyder, Timothy",4.19
L'Amour sous algorithme,"Duportail, Judith",3.83
The Man in the High Castle,"Dick, Philip K.",3.6
Flowers for Algernon,"Keyes, Daniel",4.19
Freedom,"Franzen, Jonathan",3.78
The Great Gatsby,"Fitzgerald, F. Scott",3.93
Good Economics for Hard Times: Better Answers to Our Biggest Problems,"Banerjee, Abhijit V.",4.24
"The Shining
        (The Shining, #1)","King, Stephen",4.26
Andrew Carnegie,"Nasaw, David",3.82
Deng Xiaoping and the Transformation of China,"Vogel, Ezra F.",4.45
